Age,Gender,Education Level,Department,Job Title,Years of Experience,Location,Salary
39.0,Female,Bachelor's,Sales,Account Manager,9.0,Metro City,67686.63
30.0,Male,Master's,Operations,Operations Manager,5.0,Metro City,77691.69
35.0,Male,High School,Finance,Finance Manager,6.0,Tier-2 City,44256.84
40.0,Male,Bachelor's,Marketing,Marketing Executive,11.0,Metro City,67852.23
29.0,Male,Master's,Finance,Finance Manager,8.0,Tier-2 City,81761.4
38.0,Male,Bachelor's,Operations,Operations Manager,8.0,Tier-2 City,64834.85
21.0,Female,Master's,Operations,Logistics Coordinator,0.0,Tier-2 City,43972.2
49.0,Female,PhD,Marketing,SEO Specialist,,Metro City,112775.26
34.0,Male,Bachelor's,HR,Recruiter,6.0,Tier-2 City,45130.16
41.0,Male,Bachelor's,Operations,Operations Analyst,5.0,Tier-2 City,47523.76
42.0,Male,High School,Operations,Logistics Coordinator,13.0,Tier-2 City,41649.02
38.0,Male,Bachelor's,Marketing,SEO Specialist,8.0,Metro City,63236.98
22.0,Male,PhD,Marketing,SEO Specialist,2.0,Tier-2 City,63680.27
30.0,Female,Master's,Finance,Accountant,9.0,Remote,78100.63
28.0,Male,PhD,IT,Software Engineer,2.0,Tier-2 City,82423.93
30.0,Male,Bachelor's,HR,HR Manager,1.0,Metro City,57389.6
21.0,Male,Bachelor's,Finance,Accountant,1.0,Tier-2 City,39020.86
39.0,Female,Bachelor's,Marketing,Marketing Executive,10.0,Tier-2 City,56407.16
38.0,Male,Bachelor's,Finance,Finance Manager,17.0,Tier-2 City,86593.61
26.0,Male,Master's,IT,Software Engineer,5.0,Metro City,99316.59
50.0,Male,Bachelor's,HR,Recruiter,19.0,Metro City,72344.52
48.0,Female,High School,Operations,Operations Manager,12.0,Metro City,54647.78
44.0,Female,Bachelor's,Sales,Sales Executive,15.0,Metro City,69684.85
45.0,Male,Master's,HR,HR Executive,16.0,Metro City,94259.75
37.0,Male,High School,HR,HR Executive,12.0,Metro City,40811.92
24.0,Female,Master's,IT,Data Analyst,4.0,Metro City,84634.26
41.0,Female,Master's,IT,DevOps Engineer,16.0,Metro City,126230.45
28.0,Male,PhD,HR,Recruiter,7.0,Tier-2 City,69241.42
59.0,Male,Bachelor's,Marketing,SEO Specialist,21.0,Tier-2 City,75484.46
36.0,Male,Master's,HR,HR Executive,11.0,Metro City,70595.2
26.0,Male,Bachelor's,Sales,Sales Executive,0.0,Metro City,39882.98
47.0,Male,Bachelor's,IT,IT Support,18.0,Tier-2 City,85127.43
